1|0|0|1872-11-30
2|4|2|1873-03-08
3|2|1|1874-03-07
4|2|2|1875-03-06
5|3|0|1876-03-04
6|4|0|1876-03-25
7|1|3|1877-03-03
8|0|2|1877-03-05
9|7|2|1878-03-02
10|9|0|1878-03-23
11|2|1|1879-01-18
12|5|4|1879-04-05
13|0|3|1879-04-07
14|5|4|1880-03-13
15|2|3|1880-03-15
16|5|1|1880-03-27
17|0|1|1881-02-26
18|1|6|1881-03-12
19|1|5|1881-03-14
20|0|13|1882-02-18
21|7|1|1882-02-25
22|5|1|1882-03-11
23|5|3|1882-03-13
24|5|0|1882-03-25
25|5|0|1883-02-03
26|7|0|1883-02-24
27|2|3|1883-03-10
28|0|3|1883-03-12
29|1|1|1883-03-17
30|0|5|1884-01-26
31|6|0|1884-02-09
32|1|8|1884-02-23
33|1|0|1884-03-15
34|0|4|1884-03-17
35|4|1|1884-03-29
36|4|0|1885-02-28
37|1|1|1885-03-14
38|8|2|1885-03-14
39|1|1|1885-03-21
40|1|8|1885-03-23
41|2|8|1885-04-11
42|0|1|1885-11-28
43|5|0|1886-02-27
44|1|6|1886-03-13
45|2|7|1886-03-20
46|1|1|1886-03-27
47|1|3|1886-03-29
48|4|1|1886-04-10
49|3|2|1886-11-25
50|7|0|1887-02-05
51|4|1|1887-02-19
52|4|0|1887-02-26
53|4|1|1887-03-12
54|2|3|1887-03-19
55|0|2|1887-03-21
56|5|1|1888-02-04
57|11|0|1888-03-03
58|5|1|1888-03-10
59|0|5|1888-03-17
60|2|10|1888-03-24
61|1|5|1888-04-07
62|4|0|1888-09-19
63|4|1|1889-02-23
64|6|1|1889-03-02
65|7|0|1889-03-09
66|2|3|1889-04-13
67|0|0|1889-04-15
68|1|3|1889-04-27
69|5|2|1890-02-08
70|1|9|1890-03-15
71|1|3|1890-03-15
72|5|0|1890-03-22
73|1|4|1890-03-29
74|1|1|1890-04-05
75|7|2|1891-02-07
76|4|1|1891-03-07
77|6|1|1891-03-07
78|3|4|1891-03-21
79|2|1|1891-03-28
80|2|1|1891-04-06
81|1|1|1892-02-27
82|0|2|1892-03-05
83|0|2|1892-03-05
84|2|3|1892-03-19
85|6|1|1892-03-26
86|1|4|1892-04-02
87|6|1|1893-02-25
88|6|0|1893-03-13
89|0|8|1893-03-18
90|6|1|1893-03-25
91|5|2|1893-04-01
92|4|1|1894-02-24
93|2|2|1894-03-03
94|1|5|1894-03-12
95|5|2|1894-03-24
96|1|2|1894-03-31
97|2|2|1894-04-07
98|9|0|1895-03-09
99|2|2|1895-03-16
100|1|1|1895-03-18
101|2|2|1895-03-23
102|3|1|1895-03-30
103|3|0|1895-04-06
104|6|1|1896-02-29
105|0|2|1896-03-07
106|1|9|1896-03-16
107|4|0|1896-03-21
108|3|3|1896-03-28
109|2|1|1896-04-04
110|6|0|1897-02-20
111|4|3|1897-03-06
112|2|2|1897-03-20
113|5|1|1897-03-27
114|4|0|1897-03-29
115|1|2|1897-04-03
116|0|1|1898-02-19
117|2|3|1898-03-05
118|5|2|1898-03-19
119|0|3|1898-03-26
120|0|3|1898-03-28
121|1|3|1898-04-02
122|13|2|1899-02-18
123|1|0|1899-03-04
124|0|6|1899-03-18
125|4|0|1899-03-20
126|9|1|1899-03-25
127|2|1|1899-04-08
128|5|2|1900-02-03
129|2|0|1900-02-24
130|0|3|1900-03-03
131|0|2|1900-03-17
132|1|1|1900-03-26
133|4|1|1900-04-07
134|11|0|1901-02-23
135|1|1|1901-03-02
136|3|0|1901-03-09
137|6|0|1901-03-18
138|0|1|1901-03-23
139|2|2|1901-03-30
140|0|3|1902-02-22
141|1|5|1902-03-01
142|0|0|1902-03-03
143|5|1|1902-03-15
144|0|1|1902-03-22
145|2|2|1902-05-03
146|0|6|1902-07-20
147|5|0|1902-10-12
148|4|0|1903-02-14
149|2|1|1903-03-02
150|0|1|1903-03-09
151|0|2|1903-03-21
152|2|0|1903-03-28
153|1|2|1903-04-04
154|2|1|1903-04-05
155|3|2|1903-06-11
156|2|3|1903-09-13
157|4|2|1903-10-11
158|2|2|1904-02-29
159|1|3|1904-03-12
160|1|1|1904-03-12
161|0|1|1904-03-21
162|1|1|1904-03-26
163|0|1|1904-04-09
164|3|3|1904-05-01
165|3|0|1904-06-02
166|5|4|1904-10-09
167|1|0|1905-02-12
168|1|1|1905-02-25
169|3|1|1905-03-06
170|4|0|1905-03-18
171|3|1|1905-03-27
172|1|0|1905-04-01
173|2|2|1905-04-08
174|0|0|1905-04-09
175|1|4|1905-04-30
176|7|0|1905-05-07
177|4|0|1905-05-14
178|0|0|1905-08-15
179|0|5|1906-02-17
180|0|2|1906-03-03
181|0|1|1906-03-17
182|0|1|1906-03-19
183|1|1|1906-04-01
184|4|4|1906-04-02
185|2|1|1906-04-07
186|0|5|1906-04-22
187|5|0|1906-04-29
188|2|3|1906-05-13
189|0|2|1906-08-15
